CO2 (ppm),PM2.5 (ug/m3),Temperature (Celsius),Humidity (%),AQI US
410.0,15,31.0,73.0,57
412.0,12,31.0,71.0,50
411.0,20,30.0,75.0,68
408.0,41,29.0,79.0,114
410.0,30,28.0,82.0,88
413.0,21,27.0,86.0,70
423.0,15,26.0,89.0,57
433.0,35,25.0,92.0,99
429.0,27,25.0,91.0,82
423.0,22,26.0,90.0,72
422.0,22,26.0,90.0,72
420.0,21,26.0,89.0,70
417.0,18,26.0,88.0,63
422.0,25,26.0,88.0,78
420.0,27,27.0,87.0,82
418.0,25,27.0,86.0,78
417.0,19,27.0,85.0,65
412.0,18,27.0,85.0,63
411.0,15,27.0,83.0,57
410.0,16,28.0,81.0,59
409.0,18,29.0,77.0,63
409.0,27,31.0,71.0,82
414.0,24,34.0,65.0,76
415.0,20,33.0,66.0,68
414.0,28,33.0,66.0,84
417.0,13,32.0,67.0,53
419.0,14,31.0,70.0,55
410.0,17,30.0,71.0,61
415.0,15,29.0,72.0,57
424.0,20,27.0,81.0,68
430.0,25,25.0,88.0,78
485.0,20,25.0,90.0,68
464.0,20,24.0,90.0,68
432.0,17,24.0,91.0,61
434.0,26,25.0,90.0,80
423.0,12,25.0,88.0,50
427.0,14,25.0,88.0,55
437.0,27,25.0,87.0,82
428.0,23,25.0,88.0,74
417.0,18,25.0,87.0,63
412.0,15,26.0,86.0,57
409.0,8,26.0,87.0,33
407.0,11,26.0,86.0,45
407.0,11,27.0,83.0,45
409.0,18,28.0,78.0,63
414.0,40,30.0,75.0,112
417.0,24,31.0,71.0,76
413.0,20,31.0,75.0,68
418.0,35,30.0,79.0,99
427.0,35,29.0,82.0,99
425.0,46,28.0,88.0,127
427.0,63,27.0,91.0,155
449.0,54,26.0,93.0,146
498.0,83,25.0,93.0,165
447.0,61,25.0,92.0,154
444.0,45,25.0,91.0,124
435.0,34,25.0,90.0,97
427.0,30,25.0,89.0,88
425.0,28,26.0,88.0,84
420.0,16,26.0,88.0,59
413.0,9,26.0,87.0,37
408.0,7,26.0,86.0,29
408.0,6,27.0,82.0,25
413.0,21,28.0,83.0,70
413.0,28,29.0,79.0,84
414.0,35,30.0,73.0,99
418.0,31,32.0,69.0,91
422.0,31,35.0,63.0,91
